| 02-KR-21 | 35 | 01 | 249 | | ON |
| 24-VW-38 | 21961 | 01 | 283 | | ON |
| 78-SR-10 | 22075 | 01 | 58 | | OFF |
| 87-IW-63 | 22079 | 01 | 286 | | ON |
| 24-VW-38 | 22121 | 01 | 60 | | OFF |
| 80-CQ-01 | 22137 | 01 | 125 | | ON |
| 24-VW-38 | 22223 | 01 | 95 | | OFF |
| 61-SF-78 | 22258 | 01 | 160 | | ON |
| 80-CQ-01 | 22326 | 01 | 15 | | OFF |
| 80-CQ-01 | 22337 | 01 | 135 | | ON |
| 60-PP-91 | 22341 | 01 | 106 | | OFF |
| 02-KR-21 | 22399 | 01 | 230 | | ON |
| 61-SF-78 | 22417 | 01 | 93 | | OFF |
| 61-SF-78 | 22443 | 01 | 121 | | ON |
| 06-UF-65 | 22486 | 01 | 69 | | OFF |
| 06-UF-65 | 22491 | 01 | 220 | | ON |
| 87-IW-63 | 22500 | 01 | 118 | | OFF |
| 61-SF-78 | 22523 | 01 | 285 | | ON |
| 81-HO-12 | 22601 | 01 | 115 | | OFF |
| 60-PP-91 | 22626 | 01 | 162 | | ON |
| 87-IW-63 | 22693 | 01 | 79 | | OFF |
| 12-VI-17 | 22757 | 01 | 144 | | ON |
| 06-UF-65 | 22761 | 01 | 43 | | OFF |
| 80-CQ-01 | 22806 | 01 | 206 | | ON |
| 60-PP-91 | 22807 | 01 | 55 | | OFF |
| 80-CQ-01 | 22822 | 01 | 170 | | ON |
| 12-VI-17 | 22914 | 01 | 67 | | OFF |
| 87-IW-63 | 22987 | 01 | 186 | | ON |
| 02-KR-21 | 23066 | 01 | 23 | | OFF |
| 81-HO-12 | 23068 | 01 | 123 | | ON |
| 81-HO-12 | 23218 | 01 | 105 | | OFF |
| 81-HO-12 | 23223 | 01 | 247 | | ON |
| 61-SF-78 | 23247 | 01 | 78 | | OFF |
| 80-CQ-01 | 23249 | 01 | 174 | | ON |
| 12-VI-17 | 23271 | 01 | 19 | | OFF |
| 60-PP-91 | 23334 | 01 | 136 | | ON |
| 02-KR-21 | 23340 | 01 | 86 | | OFF |
| 60-PP-91 | 23447 | 01 | 288 | | ON |
| 06-UF-65 | 23491 | 01 | 33 | | OFF |
| 78-SR-10 | 23652 | 01 | 145 | | ON |
| 81-HO-12 | 23842 | 01 | 23 | | OFF |
| 87-IW-63 | 23876 | 01 | 231 | | ON |
| 06-UF-65 | 23946 | 01 | 45 | | OFF |
| 61-SF-78 | 23999 | 01 | 132 | | ON |
| 02-KR-21 | 24068 | 01 | 81 | | OFF |
| 12-VI-17 | 24199 | 01 | 184 | | ON |
| 81-HO-12 | 24221 | 01 | 91 | | OFF |
| 02-KR-21 | 24231 | 01 | 262 | | ON |
| 87-IW-63 | 24269 | 01 | 77 | | OFF |
| 02-KR-21 | 24294 | 01 | 130 | | ON |
| 87-IW-63 | 24312 | 01 | 14 | | OFF |
| 60-PP-91 | 24382 | 01 | 237 | | ON |
| 06-UF-65 | 24427 | 01 | 103 | | OFF |
| 61-SF-78 | 24442 | 01 | 158 | | ON |
| 12-VI-17 | 24456 | 01 | 100 | | OFF |
| 81-HO-12 | 24500 | 01 | 249 | | ON |
| 12-VI-17 | 24542 | 01 | 64 | | OFF |
| 06-UF-65 | 24645 | 01 | 142 | | ON |
| 87-IW-63 | 24647 | 01 | 46 | | OFF |
| 60-PP-91 | 24710 | 01 | 211 | | ON |
| 80-CQ-01 | 24746 | 01 | 69 | | OFF |
| 60-PP-91 | 24763 | 01 | 300 | | ON |
| 02-KR-21 | 24830 | 01 | 44 | | OFF |
| 61-SF-78 | 24855 | 01 | 264 | | ON |
| 06-UF-65 | 24871 | 01 | 80 | | OFF |
| 12-VI-17 | 24873 | 01 | 220 | | ON |
| 02-KR-21 | 24909 | 01 | 35 | | OFF |
| 61-SF-78 | 24933 | 01 | 236 | | ON |
| 12-VI-17 | 24962 | 01 | 53 | | OFF |
| 81-HO-12 | 24982 | 01 | 283 | | ON |
| 06-UF-65 | 25021 | 01 | 80 | | OFF |
| 61-SF-78 | 25044 | 01 | 178 | | ON |
| 81-HO-12 | 25214 | 01 | 12 | | OFF |
| 02-KR-21 | 25282 | 01 | 211 | | ON |
| 61-SF-78 | 25399 | 01 | 79 | | OFF |
| 81-HO-12 | 25418 | 01 | 223 | | ON |
| 02-KR-21 | 25465 | 01 | 62 | | OFF |
| 12-VI-17 | 25538 | 01 | 287 | | ON |
| 87-IW-63 | 25539 | 01 | 52 | | OFF |
| 78-SR-10 | 25584 | 01 | 192 | | ON |
| 81-HO-12 | 25605 | 01 | 47 | | OFF |
| 87-IW-63 | 25634 | 01 | 176 | | ON |
| 06-UF-65 | 25724 | 01 | 65 | | OFF |
| 06-UF-65 | 25782 | 01 | 251 | | ON |
| 02-KR-21 | 25842 | 01 | 58 | | OFF |
| 12-VI-17 | 25895 | 01 | 185 | | ON |
| 78-SR-10 | 25960 | 01 | 67 | | OFF |
| 60-PP-91 | 26065 | 01 | 140 | | ON |
| 61-SF-78 | 26086 | 01 | 33 | | OFF |
| 12-VI-17 | 26142 | 01 | 297 | | ON |
| 60-PP-91 | 26167 | 01 | 19 | | OFF |
| 87-IW-63 | 26178 | 01 | 176 | | ON |
| 80-CQ-01 | 26244 | 01 | 99 | | OFF |
| 12-VI-17 | 26270 | 01 | 157 | | ON |
| 80-CQ-01 | 26270 | 01 | 79 | | OFF |
| 61-SF-78 | 26278 | 01 | 181 | | ON |
| 02-KR-21 | 26311 | 01 | 1 | | OFF |
| 81-HO-12 | 26405 | 01 | 295 | | ON |
| 12-VI-17 | 26488 | 01 | 73 | | OFF |
| 02-KR-21 | 26490 | 01 | 154 | | ON |
| 12-VI-17 | 26579 | 01 | 4 | | OFF |
| 80-CQ-01 | 26651 | 01 | 211 | | ON |
| 78-SR-10 | 26761 | 01 | 117 | | OFF |
| 06-UF-65 | 26789 | 01 | 226 | | ON |
| 81-HO-12 | 26832 | 01 | 15 | | OFF |
| 06-UF-65 | 26851 | 01 | 264 | | ON |
| 02-KR-21 | 26913 | 01 | 36 | | OFF |
| 60-PP-91 | 26930 | 01 | 150 | | ON |
| 60-PP-91 | 26937 | 01 | 83 | | OFF |
| 80-CQ-01 | 26937 | 01 | 138 | | ON |
| 06-UF-65 | 26982 | 01 | 79 | | OFF |
| 78-SR-10 | 26994 | 01 | 238 | | ON |
| 02-KR-21 | 27023 | 01 | 36 | | OFF |
| 80-CQ-01 | 27161 | 01 | 152 | | ON |
| 78-SR-10 | 27339 | 01 | 74 | | OFF |
| 24-VW-38 | 27351 | 01 | 167 | | ON |
| 61-SF-78 | 27515 | 01 | 46 | | OFF |
| 61-SF-78 | 27517 | 01 | 246 | | ON |
| 24-VW-38 | 27647 | 01 | 89 | | OFF |
| 61-SF-78 | 27661 | 01 | 275 | | ON |
| 24-VW-38 | 27753 | 01 | 90 | | OFF |
| 78-SR-10 | 27760 | 01 | 255 | | ON |
| 06-UF-65 | 27844 | 01 | 91 | | OFF |
| 61-SF-78 | 27942 | 01 | 271 | | ON |
| 12-VI-17 | 27972 | 01 | 34 | | OFF |
| 61-SF-78 | 27981 | 01 | 181 | | ON |
| 24-VW-38 | 28123 | 01 | 35 | | OFF |
| 06-UF-65 | 28201 | 01 | 268 | | ON |
| 78-SR-10 | 28212 | 01 | 55 | | OFF |
| 78-SR-10 | 28213 | 01 | 225 | | ON |
| 61-SF-78 | 28339 | 01 | 37 | | OFF |
| 06-UF-65 | 28360 | 01 | 263 | | ON |
| 12-VI-17 | 28419 | 01 | 39 | | OFF |
| 78-SR-10 | 28490 | 01 | 275 | | ON |
| 61-SF-78 | 28660 | 01 | 32 | | OFF |
| 24-VW-38 | 28666 | 01 | 229 | | ON |
| 06-UF-65 | 28693 | 01 | 114 | | OFF |
| 24-VW-38 | 28715 | 01 | 131 | | ON |
| 60-PP-91 | 28828 | 01 | 38 | | OFF |
| 06-UF-65 | 28838 | 01 | 210 | | ON |
| 06-UF-65 | 28953 | 01 | 115 | | OFF |
| 24-VW-38 | 29009 | 01 | 198 | | ON |
| 60-PP-91 | 29065 | 01 | 52 | | OFF |
| 78-SR-10 | 29095 | 01 | 173 | | ON |
| 02-KR-21 | 29145 | 01 | 73 | | OFF |
| 80-CQ-01 | 29169 | 01 | 121 | | ON |
| 80-CQ-01 | 29186 | 01 | 29 | | OFF |
| 60-PP-91 | 29234 | 01 | 232 | | ON |
| 60-PP-91 | 29381 | 01
